id_rh,nilai_rh,id_waktu,id_tanggal
RH755,78.4,J11,T9
RH756,78.1,J12,T9
RH757,79.6,J12,T9
RH758,82.2,J12,T9
RH759,82.2,J12,T9
RH760,83.9,J12,T9
RH761,84.2,J12,T9
RH762,84.7,J13,T9
RH763,85.6,J13,T9
RH764,85.9,J13,T9
RH765,86,J13,T9
RH766,85.4,J13,T9
RH767,85.6,J13,T9
RH768,87.6,J14,T9
RH769,86.8,J14,T9
RH770,85.3,J14,T9
RH771,87.5,J14,T9
RH772,88.3,J14,T9
RH773,88.3,J14,T9
RH774,87.2,J15,T9
RH775,87.4,J15,T9
RH776,88.2,J15,T9
RH777,88.5,J15,T9
RH778,88.5,J15,T9
RH779,88.7,J15,T9
RH780,89.3,J16,T9
RH781,89.7,J16,T9
RH782,89.8,J16,T9
RH783,90.6,J16,T9
RH784,90.8,J16,T9
RH785,91.1,J16,T9
RH786,91.6,J17,T9
RH787,92,J17,T9
RH788,92,J17,T9
RH789,91.9,J17,T9
RH790,92.5,J17,T9
RH791,92.8,J17,T9
RH792,93,J18,T9
RH793,93.1,J18,T9
RH794,93.3,J18,T9
RH795,91.9,J18,T9
RH796,92.2,J18,T9
RH797,92.7,J18,T9
RH798,94.8,J19,T9
RH799,95.7,J19,T9
RH800,95.7,J19,T9
RH801,95.7,J19,T9
RH802,95.5,J19,T9
RH803,94.9,J19,T9
RH804,95.8,J20,T9
RH805,96.3,J20,T9
RH806,96.3,J20,T9
RH807,96,J20,T9
RH808,96.3,J20,T9
RH809,96.3,J20,T9
RH810,95.4,J21,T9
RH811,95.1,J21,T9
RH812,94.8,J21,T9
RH813,95.3,J21,T9
RH814,96.3,J21,T9
RH815,96.7,J21,T9
RH816,96.6,J22,T9
RH817,96.6,J22,T9
RH818,96,J22,T9
RH819,95.2,J22,T9
RH820,94.7,J22,T9
RH821,94.7,J22,T9
RH822,94.6,J23,T9
RH823,94.8,J23,T9
RH824,94.7,J23,T9
RH825,93.2,J23,T9
RH826,91.3,J23,T9
RH827,89.2,J23,T9
RH828,86.5,J24,T10
RH829,83.9,J24,T10
RH830,81.9,J24,T10
RH831,80,J24,T10
RH832,78.7,J24,T10
RH833,78.8,J24,T10
RH834,79.4,J1,T10
RH835,78.8,J1,T10
RH836,78.1,J1,T10
RH837,75.8,J1,T10
RH838,75.5,J1,T10
RH839,71.9,J1,T10
RH840,70.8,J2,T10
RH841,69.4,J2,T10
RH842,70.8,J2,T10
RH843,70.5,J2,T10
RH844,68.5,J2,T10
RH845,66,J2,T10
RH846,64.8,J3,T10
RH847,66.1,J3,T10
RH848,63,J3,T10
RH849,63.6,J3,T10
RH850,64.3,J3,T10
RH851,62.8,J3,T10
RH852,62.1,J4,T10
RH853,60.9,J4,T10
RH854,61.5,J4,T10
RH855,59.4,J4,T10
RH856,60.4,J4,T10
RH857,61.3,J4,T10
RH858,59.8,J5,T10
RH859,60.4,J5,T10
RH860,61,J5,T10
RH861,59.1,J5,T10
RH862,58.4,J5,T10
RH863,54.6,J5,T10
RH864,53.7,J6,T10
RH865,51.9,J6,T10
RH866,53,J6,T10
RH867,52.6,J6,T10
RH868,50.6,J6,T10
RH869,49.9,J6,T10
RH870,48.2,J7,T10
RH871,44,J7,T10
RH872,46,J7,T10
RH873,46.9,J7,T10
RH874,45.5,J7,T10
RH875,47.4,J7,T10
RH876,48.7,J8,T10
RH877,48.9,J8,T10
RH878,49,J8,T10
RH879,48,J8,T10
RH880,47.7,J8,T10
RH881,47.2,J8,T10
RH882,48.1,J9,T10
RH883,48.9,J9,T10
RH884,49,J9,T10
RH885,50.1,J9,T10
RH886,51.1,J9,T10
RH887,51.6,J9,T10
RH888,51.1,J10,T10
RH889,51.8,J10,T10
RH890,54.4,J10,T10
RH891,55.6,J10,T10
RH892,55.5,J10,T10
RH893,57.6,J10,T10
RH894,60.2,J11,T10
RH895,60.9,J11,T10
RH896,62.5,J11,T10
RH897,65,J11,T10
RH898,66.6,J11,T10
RH899,72.8,J11,T10
RH900,76.7,J12,T10
RH901,78.7,J12,T10
RH902,81.5,J12,T10
RH903,82.6,J12,T10
RH904,84.8,J12,T10
RH905,87.1,J12,T10
RH906,87.7,J13,T10
RH907,87.8,J13,T10
RH908,87.6,J13,T10
RH909,86.9,J13,T10
RH910,87,J13,T10
RH911,87.9,J13,T10
RH912,87.3,J14,T10
RH913,86.6,J14,T10
RH914,85.7,J14,T10
RH915,86,J14,T10
RH916,85.6,J14,T10
RH917,86,J14,T10
RH918,86.7,J15,T10
RH919,87.7,J15,T10
RH920,87,J15,T10
RH921,86.7,J15,T10
RH922,87.3,J15,T10
RH923,87.9,J15,T10
RH924,87.9,J16,T10
RH925,87.7,J16,T10
RH926,88.4,J16,T10
RH927,88.5,J16,T10
RH928,88.1,J16,T10
RH929,87.7,J16,T10
RH930,88.1,J17,T10
RH931,87.1,J17,T10
RH932,86.6,J17,T10
RH933,86.7,J17,T10
RH934,87.2,J17,T10
RH935,86.9,J17,T10
RH936,86.4,J18,T10
RH937,86.9,J18,T10
RH938,86.4,J18,T10
RH939,86.5,J18,T10
RH940,86.6,J18,T10
RH941,86.3,J18,T10
RH942,86,J19,T10
RH943,87.1,J19,T10
RH944,87.2,J19,T10
RH945,86.7,J19,T10
RH946,85.8,J19,T10
RH947,85.7,J19,T10
RH948,85.3,J20,T10
RH949,85.3,J20,T10
RH950,84.7,J20,T10
RH951,85,J20,T10
RH952,86.2,J20,T10
RH953,85.9,J20,T10
RH954,85.3,J21,T10
